Latin Word,POS,English Meaning,Urdu Meaning
coemo,Verb,I will take it,میں اسے لے لوں گا۔
coeno,Verb,dinner,رات کا کھانا
coepi,Verb,I started,میں نے شروع کیا۔
coeso,Verb,together,ایک ساتھ
coeus,Adjective,coeus,coeus
cogno,Adjective,I know,میں جانتا ہوں
cohus,Verb,flock,ریوڑ
collo,Verb,neck,گردن
colus,Verb,filter,فلٹر
comis,Adjective,hair,بال
commo,Verb,Commo,کومو
compo,Verb,compo,کمپو
condo,Verb,condo,کونڈو
conor,Verb,I try,میں کوشش کرتا ہوں۔
conpo,Verb,put together,ایک ساتھ رکھو
conso,Verb,conso,conso
conto,Verb,count,شمار
copio,Verb,stock,اسٹاک
copta,Verb,Coptic,قبطی
copti,Verb,Copts,قبطی۔
copto,Verb,Coptic,قبطی
coquo,Verb,cook,پکانا
corax,Adjective,heart,دل
cordo,Verb,heart,دل
couto,Verb,cout,cout
coxos,Verb,hips,کولہوں
coxus,Adjective,hip,کولہے
crata,Verb,lattice,جالی
credo,Verb,I believe,میں مانتا ہوں۔
cremo,Verb,cream,کریم
creno,Verb,I believe,میں مانتا ہوں۔
crepo,Verb,crepe,کریپ
criso,Verb,fall,گر
croco,Verb,Crocus,کروکس
cromi,Adjective,chrome,کروم
crueo,Verb,bloody,خونی
crybo,Verb,cry,رونا
cucur,Adjective,sugar,چینی
cujus,Adjective,whose,جس کا
culpo,Verb,to blame,الزام لگانا
cuneo,Verb,wedge,پچر
cupio,Verb,I want,میں چاہتا ہوں
cuppa,Verb,cuppa,کپپا
cures,Adjective,cares,پرواہ کرتا ہے
curro,Verb,I run,میں دوڑتا ہوں۔
curso,Verb,course,کورس
curto,Verb,I like it,مجھے یہ پسند ہے۔
curvo,Verb,curved,مڑے ہوئے
damno,Verb,damage,نقصان
daseo,Verb,I'm staying,میں رہ رہا ہوں۔
deago,Verb,deago,ڈیاگو
deamo,Verb,the goddess,دیوی
debeo,Verb,I must,مجھے چاہیے
deceo,Verb,I am worthy,میں اس قابل ہوں۔
decet,Verb,it should be,یہ ہونا چاہئے
decio,Verb,ten,دس
dedus,Verb,given,دیا
dedux,Verb,conducted,منعقد کیا
defao,Verb,I fail,میں ناکام
defio,Verb,I defy,میں انکار کرتا ہوں۔
deflo,Verb,blow off,اڑا
deleo,Verb,delete,حذف کریں
delor,Verb,I am destroyed,میں تباہ ہو گیا ہوں۔
deluo,Verb,I wash,میں دھوتا ہوں۔
demeo,Verb,down,نیچے
denda,Verb,tent,خیمہ
denso,Verb,thick,موٹی
dento,Verb,tooth,دانت
depro,Verb,down,نیچے
depso,Verb,down,نیچے
depuo,Verb,I put down,میں نے نیچے رکھ دیا۔
dereo,Verb,at last,آخر میں
deruo,Verb,later,بعد میں
desco,Verb,come down,نیچے آو
desuo,Verb,let go,جانے دو
detro,Verb,down,نیچے
deuro,Verb,thank you,شکریہ
deuto,Verb,due,واجب الادا
deveo,Verb,I have to,مجھے کرنا ہے۔
devio,Verb,I deviate,میں انحراف کرتا ہوں۔
dexto,Verb,right hand,دائیں ہاتھ
dicax,Adjective,teacher,استاد
dicto,Verb,said,کہا
dicus,Verb,dicuss,بحث
didus,Adjective,he did,اس نے کیا
diffo,Verb,diff,فرق
diger,Verb,digger,کھودنے والا
digno,Verb,worthy,قابل
dilor,Verb,I'm sorry,مجھے افسوس ہے
diluo,Adjective,I dilute,میں پتلا کرتا ہوں۔
dindo,Verb,dindo,ڈنڈو
dinus,Adjective,dino,dino
dipdo,Verb,dipdo,dipdo
diruo,Verb,I destroy,میں تباہ کرتا ہوں۔
dirus,Adjective,hard,مشکل
disco,Verb,learn,سیکھیں
disdo,Verb,I give,میں دیتا ہوں۔
dispo,Verb,arrange,بندوبست
disto,Verb,spread out,پھیل گیا
ditto,Verb,ditto,اسی طرح
diues,Adjective,days,دن
diuus,Adjective,long,طویل
divio,Verb,divide,تقسیم
divus,Adjective,god,خدا
doceo,Verb,I teach,میں سکھاتا ہوں۔
docus,Adjective,teacher,استاد
dodro,Verb,doro,ڈورو
dolba,Adjective,dolba,ڈولبا
doleo,Verb,I'm sorry,مجھے افسوس ہے
dolgo,Verb,I work,میں کام کرتا ہوں۔
ducto,Verb,led,قیادت
dulco,Verb,sweet,میٹھا
dumuo,Verb,I take it,میں لیتا ہوں۔
durus,Adjective,hard,مشکل
ealis,Adjective,ealis,ایلس
ebeto,Adjective,I'm drunk,میں نشے میں ہوں۔
ebibo,Verb,I will drink,میں پیوں گا۔
eburo,Verb,ivory,ہاتھی دانت
ecquo,Verb,with that,اس کے ساتھ
edera,Verb,eat,کھاؤ
edico,Verb,I publish,میں شائع کرتا ہوں۔
edius,Adjective,more,مزید
edolo,Verb,I eat,میں کھاتا ہوں۔
edomo,Verb,Edom,ادوم
educo,Verb,I bring up,میں لاتا ہوں۔
effeo,Verb,effeo,effeo
efflo,Verb,blow,دھچکا
egero,Verb,I need,مجھے چاہیے
egomo,Verb,I myself,میں خود
eicio,Verb,I drive,میں چلاتا ہوں۔
eiero,Verb,I will leave,میں چھوڑ دوں گا۔
ejeco,Verb,throw out,باہر پھینک دو
ejulo,Verb,squeal,چیخنا
ejuro,Verb,I swear,میں قسم کھاتا ہوں۔
elabo,Verb,I slip away,میں کھسک جاتا ہوں۔
elego,Adjective,I choose,میں منتخب کرتا ہوں۔
elevo,Verb,raise,اٹھانا
elido,Verb,elided,ختم
eligo,Verb,choose,منتخب کریں
elimo,Verb,eliminate,ختم
elisa,Adjective,Elisa,ایلیسا
elluo,Verb,I choose,میں منتخب کرتا ہوں۔
ellus,Adjective,he,وہ
eludo,Verb,eluding,فرار
eluus,Verb,eluus,ایلوس
emano,Verb,emanate,نکلنا
emico,Verb,Flash,فلیش
emiro,Verb,I buy,میں خریدتا ہوں۔
enato,Verb,born,پیدا ہوا
eneco,Verb,eneco,eneco
enico,Verb,I finish,میں ختم کرتا ہوں۔
enito,Verb,go out,باہر جاؤ
enodo,Verb,enode,انوڈ
enubo,Verb,I am in trouble,میں مصیبت میں ہوں
epoto,Verb,I would like to,میں چاہوں گا
epulo,Verb,eat,کھاؤ
equus,Adjective,a horse,ایک گھوڑا
erado,Verb,erado,erado
erana,Adjective,erana,ایرنا
erepo,Verb,rescue,بچاؤ
erice,Verb,hedgehog,ہیج ہاگ
erigo,Verb,raise,اٹھانا
erogo,Verb,I spend,میں خرچ کرتا ہوں۔
erudo,Verb,scholar,عالم
erugo,Verb,I throw up,میں پھینک دیتا ہوں۔
esceo,Verb,come out,باہر آو
escus,Verb,food,کھانا
etseq,Verb,etc,وغیرہ
euado,Verb,I went,میں چلا گیا۔
evado,Verb,I escape,میں فرار
evago,Verb,I escape,میں فرار
eveho,Verb,I wake up,میں جاگتا ہوں۔
eviro,Verb,ever,کبھی
evito,Verb,avoid,بچنا
evoco,Verb,I evoke,میں آمادہ کرتا ہوں۔
evolo,Verb,I want to fly,میں اڑنا چاہتا ہوں۔
evomo,Verb,evomo,evomo
exalo,Verb,exhale,سانس چھوڑنا
exapo,Verb,escape,فرار
exaro,Verb,dry,خشک
execo,Verb,execute,پھانسی
exedo,Verb,I am going out,میں باہر جا رہا ہوں۔
exero,Verb,I will do it,میں یہ کروں گا۔
exher,Verb,exher,exher
exico,Verb,I demand,میں مطالبہ کرتا ہوں۔
exigo,Verb,I need,مجھے چاہیے
eximo,Verb,especially,خاص طور پر
exoro,Verb,I pray,میں دعا کرتا ہوں۔
expil,Adjective,expil,خارج کرنا
expio,Verb,atone,کفارہ
expos,Verb,explain,وضاحت کریں
expuo,Verb,I put it out,میں نے اسے باہر رکھا
exspo,Verb,expo,ایکسپو
exsto,Verb,I exist,میں موجود ہوں۔
exter,Verb,outside,باہر
extro,Verb,outside,باہر
exudo,Verb,exuding,exuding
exulo,Verb,an exile,ایک جلاوطنی
exuoo,Verb,take off,اتار
exuro,Verb,I burn,میں جلتا ہوں۔
faber,Adjective,carpenter,بڑھئی
facio,Verb,I do,میں کرتا ہوں۔
fagea,Adjective,beech tree,بیچ درخت
falco,Verb,falcon,فالکن
fallo,Verb,I fail,میں ناکام
falso,Verb,falsely,جھوٹے
farro,Verb,spelled,ہجے
fateo,Verb,I admit,میں مانتا ہوں۔
fauna,Adjective,fauna,حیوانات
faveo,Verb,I favor,میں احسان کرتا ہوں۔
felis,Adjective,trigger,محرک
felix,Adjective,happy,خوش
fello,Verb,fell,گر گیا
ferax,Adjective,wild,جنگلی
ferio,Verb,I will strike,میں ہڑتال کروں گا۔
ferox,Adjective,ferocious,زبردست
ferro,Verb,iron,لوہا
ferus,Adjective,wild,جنگلی
fervo,Verb,fervently,جوش سے
feteo,Verb,I smell,مجھے خوشبو آتی ہے۔
fetus,Adjective,fetus,جنین
fidus,Adjective,faithful,وفادار
fimus,Adjective,we are,ہم ہیں
findo,Verb,I find,میں ڈھونڈتا ہوں۔
fingo,Verb,imagine,تصور کریں
finio,Verb,I finish,میں ختم کرتا ہوں۔
firmo,Verb,firm,فرم
fixus,Adjective,fixed,طے شدہ
fleco,Verb,I flinch,میں جھک جاتا ہوں۔
fligo,Verb,blow,دھچکا
fluus,Adjective,the river,دریا
focus,Adjective,focus,توجہ مرکوز
fodio,Verb,I dig,میں کھودتا ہوں۔
foedo,Verb,foul,گندا
foeto,Verb,fetus,جنین
folio,Verb,leaf,پتی
formo,Verb,form,فارم
forro,Verb,forro,forro
fosso,Verb,ditch,کھائی
fosus,Adjective,dug up,کھودا
foveo,Verb,I cherish,میں پسند کرتا ہوں۔
fremo,Verb,roar,دہاڑ
freno,Verb,bridle,لگام
frico,Verb,rub,رگڑنا
frigo,Verb,in the cold,سردی میں
frixo,Verb,fried,تلی ہوئی
fromo,Verb,from,سے
fruor,Verb,I enjoy,میں لطف اندوز ہوں
fugio,Verb,I run away,میں بھاگتا ہوں۔
funda,Verb,slingshot,گلیل
fundo,Verb,at the bottom,نیچے
funer,Verb,funeral,جنازہ
fungo,Verb,mushroom,مشروم
furax,Adjective,thief,چور
furio,Verb,in a rage,غصے میں
fusco,Verb,brown,بھورا
fusto,Adjective,club,کلب
fusus,Verb,spindle,تکلا
futuo,Adjective,I'm joking,میں مذاق کر رہا ہوں۔
futus,Adjective,stupid,بیوقوف
galba,Adjective,galba,گالبا
galeo,Verb,helmet,ہیلمیٹ
gelao,Verb,I'm freezing,میں جم رہا ہوں۔
gemmo,Verb,gem,منی
gener,Verb,gen,جنرل
gesto,Verb,gesture,اشارہ
gigno,Verb,child,بچہ
glisa,Verb,slippery,پھسلنا
gloss,Adjective,gloss,چمک
glots,Verb,glottis,گلوٹیس
glubo,Verb,club,کلب
goryo,Verb,goryo,گوریو
grado,Verb,degree,ڈگری
graii,Adjective,thank you,شکریہ
grano,Verb,grain,اناج
grato,Verb,thank you,شکریہ
gravo,Verb,heavy,بھاری
grego,Verb,herd,ریوڑ
gumma,Adjective,gum,گم
gurgo,Verb,gurgo,گرگو
gusto,Verb,taste,ذائقہ
gutto,Verb,drop,ڈراپ
gutus,Verb,taste,ذائقہ
gypdo,Verb,gypsy,خانہ بدوش
gypso,Verb,gypsum,جپسم
habeo,Verb,I have,میرے پاس ہے۔
halis,Adjective,halas,حلاس
halys,Adjective,hallows,ہالوز
harus,Adjective,have to,کرنا ہے
hauso,Verb,I use it,میں اسے استعمال کرتا ہوں۔
haveo,Verb,I have,میرے پاس ہے۔
hebeo,Verb,dull,سست
hebes,Adjective,dull,سست
hebis,Adjective,you have,آپ کے پاس
hebri,Adjective,Hebrews,عبرانیوں
heluo,Verb,hell,جہنم
hereo,Verb,heir,وارث
hexas,Verb,hexes,ہیکس
hexor,Verb,hexor,ہیکسر
hibix,Adjective,Hibiscus,Hibiscus
hiemo,Verb,winter,موسم سرما
hilus,Adjective,hilus,ہلس
hisco,Verb,to these,ان کو
horto,Verb,in the garden,باغ میں
horus,Adjective,hour,گھنٹہ
hosus,Adjective,boy,لڑکا
huias,Adjective,these,یہ
hyger,Adjective,huge,بہت بڑا
iacea,Verb,lying down,لیٹنا
iaceo,Verb,I lie,میں جھوٹ بولتا ہوں۔
iacio,Verb,I shoot,میں گولی مارتا ہوں۔
iacto,Verb,thrown,پھینک دیا
iamia,Verb,jam,جام
iduus,Adjective,two days,دو دن
iicio,Verb,throw,پھینکنا
iidus,Verb,him,اسے
ileus,Adjective,ileus,ileus
ilico,Verb,immediately,فوری طور پر
illim,Adjective,him,اسے
imbuo,Verb,imbue,imbue
imito,Verb,follow,پیروی کریں
impar,Adjective,odd,عجیب
impeo,Verb,I charge,میں چارج کرتا ہوں۔
impio,Verb,impious,ناپاک
inaro,Verb,I don't know,میں نہیں جانتا
inceo,Verb,I begin,میں شروع کرتا ہوں۔
incer,Adjective,incer,incer
incus,Adjective,incus,incus
induo,Verb,put on,لگائیں
indus,Adjective,underwear,زیر جامہ
infer,Adjective,infer,اندازہ لگانا
inflo,Verb,inflow,آمد
inhio,Verb,enter,داخل کریں
innuo,Verb,once again,ایک بار پھر
innus,Verb,innu,innu
inops,Adjective,helpless,بے بس
inoro,Verb,I pray,میں دعا کرتا ہوں۔
inpar,Adjective,uneven,ناہموار
inpuo,Verb,I put,میں نے ڈال دیا۔
inruo,Verb,I rush in,میں جلدی سے اندر آتا ہوں۔
insco,Verb,I look,میں دیکھتا ہوں
insto,Verb,come on,چلو
insuo,Verb,put on,لگائیں
insus,Adjective,in,میں
inter,Verb,between,کے درمیان
intro,Verb,inside,اندر
intuo,Verb,inwardly,اندرونی طور پر
inuro,Verb,I swear,میں قسم کھاتا ہوں۔
inuus,Adjective,none,کوئی نہیں
invus,Adjective,invous,invous
iocor,Verb,I am joking,میں مذاق کر رہا ہوں۔
iocus,Adjective,a joke,ایک مذاق
ipsus,Adjective,himself,خود
irrio,Verb,err,غلطی
irruo,Verb,I rush,میں جلدی کرتا ہوں۔
itero,Verb,again,دوبارہ
iubeo,Verb,I order,میں حکم دیتا ہوں۔
iuger,Adjective,an acre,ایک ایکڑ
iuglo,Verb,throat,گلا
iulia,Adjective,Julia,جولیا
iungo,Verb,join,شمولیت
iunix,Adjective,single,اکیلا
iunus,Adjective,fast,تیز
iusgo,Verb,I command,میں حکم دیتا ہوں۔
iusus,Adjective,right,صحیح
iynxo,Verb,iynxo,iynxo
jaceo,Adjective,I lie,میں جھوٹ بولتا ہوں۔
jacio,Verb,I throw,میں پھینکتا ہوں۔
jacto,Verb,thrown,پھینک دیا
jento,Verb,I'm going,میں جا رہا ہوں
jubar,Verb,I swear,میں قسم کھاتا ہوں۔
jubeo,Verb,I command,میں حکم دیتا ہوں۔
jugis,Adjective,you judge,آپ فیصلہ کریں
juglo,Verb,neck,گردن
jungo,Verb,join,شمولیت
jurgo,Verb,swear,قسم
jurus,Verb,the right,حق
jusgo,Verb,I judge,میں فیصلہ کرتا ہوں۔
juvon,Verb,I help,میں مدد کرتا ہوں۔
kalis,Adjective,Kalis,کالس
karus,Adjective,dear,پیارے
koppa,Adjective,cup,کپ
labeo,Verb,I slip,میں پھسل جاتا ہوں۔
labor,Verb,work,کام
lacer,Adjective,tear,آنسو
lacio,Verb,I give,میں دیتا ہوں۔
lacto,Verb,milk,دودھ
laedo,Verb,I hurt,مجھے چوٹ لگی
laeto,Verb,happy,خوش
laeva,Adjective,on the left,بائیں طرف
lambo,Verb,lick,چاٹنا
lamus,Verb,the tongue,زبان
lanar,Adjective,woolen,اونی
lanio,Verb,wool,اون
lanus,Adjective,wool,اون
lapso,Verb,falling,گرنا
largo,Verb,leave,چھوڑ دو
larus,Adjective,larus,لارس
larvo,Verb,hide,چھپائیں
lasso,Verb,tired,تھکا ہوا
lateo,Adjective,hide,چھپائیں
latro,Verb,thief,چور
latus,Adjective,side,طرف
laudo,Verb,praise,تعریف
laver,Verb,to wash,دھونے کے لیے
lavus,Adjective,wash,دھونا
laxus,Adjective,lax,سست
lenis,Adjective,smooth,ہموار
lento,Verb,slow,سست
lenus,Adjective,smooth,ہموار
leono,Verb,lion,شیر
letus,Adjective,lettuce,لیٹش
leuis,Adjective,light,روشنی
leuus,Adjective,light,روشنی
levis,Adjective,light,روشنی
lexlo,Verb,lexlo,lexlo
libeo,Verb,please,براہ مہربانی
liber,Adjective,book,کتاب
libet,Verb,I like,مجھے پسند ہے۔
libro,Verb,book,کتاب
liceo,Verb,high school,ہائی اسکول
licet,Verb,although,اگرچہ
liger,Adjective,light,روشنی
ligno,Verb,wood,لکڑی
limus,Adjective,silt,گاد
lineo,Verb,line,لائن
lingo,Verb,lingo,زبان
liquo,Verb,liquid,مائع
liror,Verb,I'm afraid,مجھے ڈر لگتا ہے۔
lirus,Adjective,lirus,lirus
liveo,Verb,live,زندہ
loquo,Verb,by word of mouth,منہ کے لفظ سے
lotus,Verb,washed,دھویا
lubeo,Verb,please,براہ مہربانی
luceo,Verb,I shine,میں چمکتا ہوں۔
lucro,Verb,profit,منافع
lucto,Verb,in mourning,سوگ میں
lugeo,Verb,I mourn,میں ماتم کرتا ہوں۔
lumbo,Verb,waist,کمر
lunus,Adjective,the moon,چاند
lurco,Verb,lurk,چھپنا
lyrao,Verb,the lyre,لائر
lysus,Adjective,lyso,لائسو
lyter,Adjective,literally,لفظی طور پر
macer,Adjective,skinny,پتلی
macor,Verb,lean,دبلی
macto,Verb,I don't know,میں نہیں جانتا
madeo,Verb,wet,گیلے
mador,Verb,madder,پاگل
magus,Adjective,magician,جادوگر
maius,Adjective,greater,زیادہ
malus,Adjective,bad,برا
mammo,Verb,mother,ماں
mando,Verb,I command,میں حکم دیتا ہوں۔
maneo,Verb,I stay,میں ٹھہرتا ہوں۔
manor,Adjective,I stay,میں ٹھہرتا ہوں۔
marco,Verb,mark,نشان
marlo,Verb,marlo,مارلو
maumo,Verb,maumo,maumo
meamo,Verb,I remember,مجھے یاد ہے۔
medeo,Verb,in the middle,درمیان میں
medio,Verb,in the middle,درمیان میں
medix,Adjective,doctor,ڈاکٹر
megor,Verb,I grow,میں بڑھتا ہوں۔
meius,Adjective,mine,میرا
melca,Adjective,snail,گھونگا
mello,Verb,honey,شہد
memor,Adjective,memory,یادداشت
merco,Verb,merchandise,سامان
mereo,Verb,I deserve it,میں اس کا مستحق ہوں۔
mergo,Verb,I will sink,میں ڈوب جاؤں گا۔
merso,Verb,drowned,ڈوب گیا
merus,Adjective,mere,محض
metuo,Verb,I'm afraid,مجھے ڈر لگتا ہے۔
micus,Verb,flash,فلیش
migro,Verb,I migrate,میں ہجرت کرتا ہوں۔
milio,Verb,millet,باجرا
mimus,Adjective,let's play,چلو کھیلیں
minax,Adjective,a threat,ایک خطرہ
mineo,Verb,mine,میرا
mingo,Verb,Mingo,منگو
minio,Verb,smaller,چھوٹا
minuo,Verb,reduce,کم
miror,Verb,I wonder,میں حیران ہوں۔
mirus,Adjective,strange,عجیب
miser,Adjective,miserable,دکھی
misno,Verb,misno,غلط
mitis,Adjective,gentle,نرم
mitto,Verb,I send,بھیجتا ہوں۔
moder,Verb,moder,موڈر
molis,Adjective,by mass,بڑے پیمانے پر
molto,Verb,very much,بہت زیادہ
moneo,Verb,I advise,میں مشورہ دیتا ہوں۔
morio,Verb,I die,میں مر جاتا ہوں۔
moror,Verb,I'm dying,میں مر رہا ہوں۔
morus,Adjective,behavior,سلوک
mosus,Adjective,customer,گاہک
moueo,Verb,I move,میں حرکت کرتا ہوں۔
moveo,Verb,I move,میں حرکت کرتا ہوں۔
mulco,Verb,mulch,ملچ
mulgo,Verb,milking,دودھ پلانا
mulho,Verb,milho,ملہو
multo,Verb,much,بہت
mundo,Verb,to the world,دنیا کو
munis,Adjective,forts,قلعے
muror,Verb,I wall,میں دیوار
murro,Verb,murro,مرو
murto,Verb,dead,مردہ
museo,Verb,museum,میوزیم
musso,Verb,muttering,بڑبڑانا
mutuo,Verb,each other,ایک دوسرے
mutus,Adjective,mute,خاموش
myxus,Verb,mix,مکس
nabla,Verb,nabla,نابلا
nanus,Adjective,dwarf,بونا
narro,Verb,I tell,میں بتاتا ہوں۔
narto,Verb,ski,سکی
nasco,Verb,I am born,میں پیدا ہوا ہوں۔
nasto,Verb,nasto,nasto
natus,Adjective,born,پیدا ہوا
nauus,Verb,new,نیا
navus,Adjective,ship,جہاز
necne,Verb,neither,نہ ہی
necto,Verb,next,اگلا
necus,Adjective,innocent,معصوم
nefro,Verb,nephro,نیفرو
nelia,Adjective,not,نہیں
nemus,Verb,the forest,جنگل
neono,Verb,neon,نیین
nicto,Verb,flashed,چمکا
niger,Adjective,black,سیاہ
nigro,Verb,black,سیاہ
nimus,Adjective,too much,بہت زیادہ
ningo,Verb,snow,برف
niteo,Verb,I strive,میں کوشش کرتا ہوں۔
nixus,Verb,leaning,جھکاؤ
noceo,Verb,I hurt,مجھے چوٹ لگی
noega,Adjective,noga,نوگا
nonus,Adjective,the ninth,نویں
nosco,Verb,I know,میں جانتا ہوں
noteo,Verb,I note,میں نوٹ کرتا ہوں۔
notus,Adjective,known,جانا جاتا ہے
nouus,Adjective,new,نیا
novio,Verb,new,نیا
novus,Adjective,new,نیا
nudus,Adjective,naked,ننگا
nummo,Verb,a coin,ایک سکہ
numna,Adjective,numna,numna
nutus,Verb,nod,سر ہلانا
oasus,Adjective,oasis,نخلستان
obaro,Verb,obaro,اوبارو
obedo,Verb,I obey,میں مانتا ہوں۔
obruo,Verb,I am overwhelmed,میں مغلوب ہوں۔
obsto,Adjective,I stand in the way,میں راستے میں کھڑا ہوں۔
obsum,Verb,closed,بند
obsuo,Verb,I'm obsessing,میں جنون میں ہوں
obvio,Verb,after seeing,دیکھنے کے بعد
ocrea,Adjective,boots,جوتے
ocreo,Verb,boots,جوتے
odoro,Verb,smell,بو
offex,Verb,Offense,جرم
oicus,Adjective,oicius,oicius
ollus,Adjective,pot,برتن
omino,Verb,ominous,بدصورت
omnis,Adjective,everyone,ہر کوئی
onero,Verb,burden,بوجھ
opaco,Verb,opaque,مبہم
opero,Verb,I work,میں کام کرتا ہوں۔
opino,Verb,I think,مجھے لگتا ہے
opior,Verb,more,مزید
opipo,Verb,I live,میں رہتا ہوں
orbus,Adjective,orb,orb
ordio,Verb,order,حکم
ordus,Verb,order,حکم
oreus,Adjective,gold,سونا
oribo,Verb,I am born,میں پیدا ہوا ہوں۔
origo,Verb,origin,اصل
orior,Verb,I rise,میں اٹھتا ہوں۔
ornus,Verb,dress,لباس
ortus,Adjective,rise,اٹھنا
ortyx,Verb,ortyx,ortyx
oscen,Verb,the east,مشرق
oscio,Verb,I open,میں کھولتا ہوں۔
oscus,Adjective,a kiss,ایک بوسہ
osmis,Adjective,osmes,osmes
osset,Verb,bone,ہڈی
ossus,Verb,bone,ہڈی
oxydo,Verb,oxide,آکسائیڈ
pacid,Adjective,peaceful,پرامن
pagra,Adjective,villages,دیہات
pales,Adjective,pale,پیلا
palpo,Verb,palpate,دھڑکنا
panax,Adjective,Panax,پیناکس
pando,Verb,pando,پینڈو
pango,Verb,pango,پینگو
pappo,Verb,pappo,پاپو
parco,Verb,park,پارک
pareo,Verb,I look,میں دیکھتا ہوں
pario,Verb,paro,پارو
parmo,Verb,very little,بہت کم
parus,Adjective,small,چھوٹا
pasco,Verb,I feed,میں کھلاتا ہوں۔
pateo,Verb,open,کھلا
patio,Verb,patio,آنگن
patro,Verb,patron,سرپرست
pauso,Verb,pause,توقف
pauus,Adjective,little,تھوڑا
paveo,Verb,I'm afraid,مجھے ڈر لگتا ہے۔
pavio,Verb,pavia,پاویا
pchrn,Adjective,pcrn,پی سی آر این
pecco,Verb,sin,گناہ
pecto,Verb,comb,کنگھی
pejer,Verb,worse,بدتر
pelax,Adjective,fur coat,فر کوٹ
pello,Verb,skin,جلد
pendo,Verb,hang,پھانسی
penes,Verb,close,بند
penno,Verb,pen,قلم
penso,Verb,I think,مجھے لگتا ہے
penus,Adjective,poor,غریب
perca,Verb,check,چیک کریں
perdo,Verb,I lose,میں ہارتا ہوں۔
pereo,Verb,I perish,میں ہلاک
pergo,Verb,I will continue,میں جاری رکھوں گا۔
perio,Verb,I perish,میں ہلاک
perla,Verb,pearl,موتی
perpo,Verb,right,صحیح
petax,Verb,hat,ٹوپی
phera,Adjective,bag,بیگ
phoda,Adjective,food,کھانا
phyma,Adjective,phyma,فائیما
picum,Adjective,peak,چوٹی
picus,Adjective,peak,چوٹی
pigeo,Verb,I'm lazy,میں سست ہوں
piger,Adjective,lazy,سست
pigro,Verb,lazy,سست
pilar,Adjective,pile,ڈھیر
pinax,Adjective,pinax,pinax
pingo,Verb,paint,پینٹ
pinso,Verb,I think,مجھے لگتا ہے
pipio,Verb,I pee,میں پیشاب کرتا ہوں۔
pisco,Verb,fish,مچھلی
pisus,Adjective,weight,وزن
placo,Verb,please,براہ مہربانی
plago,Verb,I strike,میں ہڑتال کرتا ہوں۔
pleco,Verb,I fold,میں تہ
plico,Verb,fold,گنا
plodo,Verb,fruit,پھل
ploro,Verb,I cry,میں روتا ہوں۔
pluus,Adjective,more,مزید
pneio,Verb,tire,ٹائر
pnigo,Verb,rain,بارش
polus,Adjective,pole,قطب
pompo,Verb,pompom,pompom
porod,Verb,birth,پیدائش
porto,Verb,I carry,میں لے جاتا ہوں۔
posco,Verb,I ask,میں پوچھتا ہوں۔
potio,Verb,drink,پینا
potis,Adjective,you can,آپ کر سکتے ہیں
potus,Verb,drink,پینا
pravo,Verb,wrong,غلط
preco,Verb,pray,دعا
preho,Verb,press on,دبائیں
premo,Verb,press on,دبائیں
prior,Adjective,before,پہلے
privo,Verb,private,نجی
probo,Verb,I will prove it,میں ثابت کروں گا۔
proco,Verb,I propose,میں تجویز کرتا ہوں۔
prodo,Verb,betray,دھوکہ دینا
profo,Verb,professor,پروفیسر
proin,Verb,bread,روٹی
prolo,Verb,prolo,prolo
promo,Verb,promotion,فروغ
proto,Verb,therefore,لہذا
psalo,Verb,I sing,میں گاتا ہوں۔
pudeo,Verb,I am ashamed,میں شرمندہ ہوں۔
pugno,Verb,fist,مٹھی
pullo,Verb,chicken,چکن
pulso,Verb,knock,دستک
pulto,Verb,the meat,گوشت
pungo,Verb,prick,چبھنا
punus,Adjective,punishment,سزا
purgo,Verb,clean up,صاف کرو
purus,Adjective,pure,خالص
puteo,Verb,I think,مجھے لگتا ہے
putro,Verb,rotten,بوسیدہ
putus,Verb,cut off,کاٹ
quadr,Adjective,square,مربع
quero,Verb,I want,میں چاہتا ہوں
quiro,Verb,I wonder,میں حیران ہوں۔
quoti,Adjective,how many,کتنے
rabio,Verb,rage,غصہ
radio,Verb,radio,ریڈیو
radus,Verb,straight,سیدھا
ranco,Adjective,ranco,رینکو
rapax,Adjective,rapacious,بے رحم
rapio,Verb,rapture,بے خودی
rapto,Verb,rapture,بے خودی
rarus,Adjective,rare,نایاب
ratis,Verb,raft,بیڑا
ratus,Adjective,thought,سوچا
raubo,Adjective,rabo,ربو
rauus,Adjective,raucous,بدتمیز
ravus,Adjective,ravish,دلکش
reboo,Verb,I will recover,میں ٹھیک ہو جاؤں گا۔
recho,Verb,recho,recho
reddo,Verb,I return,میں لوٹتا ہوں۔
redeo,Verb,I'm coming back,میں واپس آ رہا ہوں۔
redux,Verb,back,واپس
reflo,Verb,I reflow,میں ری فلو
refuo,Verb,I refuse,میں انکار کرتا ہوں۔
regno,Verb,kingdom,بادشاہی
relor,Verb,I think,مجھے لگتا ہے
remeo,Verb,I row,میں قطار کرتا ہوں۔
rendo,Verb,I am rendering,میں پیش کر رہا ہوں۔
reneo,Verb,I refuse,میں انکار کرتا ہوں۔
renuo,Verb,I repeat,میں دہراتا ہوں۔
repao,Verb,store,اسٹور
repeo,Verb,I crawl,میں رینگتا ہوں۔
repoo,Verb,store,اسٹور
repro,Verb,repro,repro
repto,Verb,crawl,رینگنا
repuo,Verb,I store,میں ذخیرہ کرتا ہوں۔
resto,Verb,the rest,باقی
